foul_id,event_id,match,date,play_id,minute_raw,minute_num,period,foul_team,is_argentina,foul_player,fk_winner_player,fk_winner_team,fk_zone,x,y,text,carded,card_link_type,card_type,card_minute,card_player,l2_matched,l2_incident_ids,l2_claim_class,l2_n_sources,l2_consensus,l2_note,arg_uncarded_candidate
760509_49731511,760509,ARG-EGY R16,2026-07-07,49731511,46',46.0,2,Argentina,1,Lisandro Martínez,Mohamed Salah,Egypt,defensive half,56.3,16.4,Mohamed Salah (Egypt) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760509_49731548,760509,ARG-EGY R16,2026-07-07,49731548,48',48.0,2,Argentina,1,Julián Alvarez,Mostafa Shobeir,Egypt,defensive half,96.6,47.0,Mostafa Shobeir (Egypt) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760509_49731551,760509,ARG-EGY R16,2026-07-07,49731551,48',48.0,2,Argentina,1,Nicolás Tagliafico,Haissem Hassan,Egypt,defensive half,60.3,83.2,Haissem Hassan (Egypt) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760509_49731628,760509,ARG-EGY R16,2026-07-07,49731628,52',52.0,2,Egypt,0,Mohamed Salah,,,,29.6,31.6,Foul by Mohamed Salah (Egypt).,0,,,,,0,,,,,,0
760509_49731691,760509,ARG-EGY R16,2026-07-07,49731691,55',55.0,2,Egypt,0,Hamdi Fathy,,,,28.6,75.2,Foul by Hamdi Fathy (Egypt).,0,,,,,0,,,,,,0
760509_49731757,760509,ARG-EGY R16,2026-07-07,49731757,58',58.0,2,Egypt,0,Marwan Attia,,,,11.4,13.5,Foul by Marwan Attia (Egypt).,0,,,,,0,,,,,,0
760509_49731820,760509,ARG-EGY R16,2026-07-07,49731820,64',64.0,2,Egypt,0,Mohamed Salah,,,,43.0,15.8,Foul by Mohamed Salah (Egypt).,0,,,,,0,,,,,,0
760509_49732163,760509,ARG-EGY R16,2026-07-07,49732163,87',87.0,2,Argentina,1,Nico González,Omar Marmoush,Egypt,defensive half,63.6,91.6,Omar Marmoush (Egypt) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760509_49732199,760509,ARG-EGY R16,2026-07-07,49732199,89',89.0,2,Egypt,0,Karim Hafez,,,,26.2,92.2,Foul by Karim Hafez (Egypt).,1,team_close,yellow-card,90'+3',Mostafa Shobeir,0,,,,,,0
760509_49732287,760509,ARG-EGY R16,2026-07-07,49732287,90'+7',90.07,2,Argentina,1,Nico González,Zizo,Egypt,defensive half,72.0,93.6,Zizo (Egypt) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760509_49732296,760509,ARG-EGY R16,2026-07-07,49732296,90'+8',90.08,2,Egypt,0,Marwan Attia,,,,46.7,65.8,Foul by Marwan Attia (Egypt).,1,player_pm3,yellow-card,90'+8',Marwan Attia,0,,,,,,0
