foul_id,event_id,match,minute_raw,minute_num,foul_team,is_argentina,foul_player,carded,n_opta_foul_lines_pm1,opta_snip,n_media_lines_pm2,media_sources,media_snip,has_media_narration
760500_49687737,760500,ARG-CPV R32,40',40.0,Cape Verde,0,Deroy Duarte,0,2,Foul by Deroy Duarte (Cabo Verde). || Thiago Almada (Argentina) wins a free kick in the defensive half.,0,,,0
760500_49687776,760500,ARG-CPV R32,42',42.0,Cape Verde,0,Deroy Duarte,0,6,Foul by Deroy Duarte (Cabo Verde). || Enzo Fernández (Argentina) wins a free kick in the defensive half. || Foul by Diney Borges (Cabo Verde).,0,,,0
760500_49687787,760500,ARG-CPV R32,43',43.0,Cape Verde,0,Diney Borges,0,6,Foul by Deroy Duarte (Cabo Verde). || Enzo Fernández (Argentina) wins a free kick in the defensive half. || Foul by Diney Borges (Cabo Verde).,0,,,0
760500_49687791,760500,ARG-CPV R32,43',43.0,Argentina,1,Lautaro Martínez,0,6,Foul by Deroy Duarte (Cabo Verde). || Enzo Fernández (Argentina) wins a free kick in the defensive half. || Foul by Diney Borges (Cabo Verde).,0,,,0
760500_49687872,760500,ARG-CPV R32,45'+2',45.02,Argentina,1,Lionel Messi,0,2,Sidny Cabral (Cabo Verde) wins a free kick in the defensive half. || Foul by Lionel Messi (Argentina).,0,,,0
760500_49687979,760500,ARG-CPV R32,50',50.0,Argentina,1,Lautaro Martínez,0,2,Pico Lopes (Cabo Verde) wins a free kick in the defensive half. || Foul by Lautaro Martínez (Argentina).,0,,,0
760500_49688032,760500,ARG-CPV R32,53',53.0,Argentina,1,Thiago Almada,0,2,Steven Moreira (Cabo Verde) wins a free kick in the defensive half. || Foul by Thiago Almada (Argentina).,0,,,0
760500_49688127,760500,ARG-CPV R32,58',58.0,Argentina,1,Cristian Romero,0,2,Laros Duarte (Cabo Verde) wins a free kick in the defensive half. || Foul by Cristian Romero (Argentina).,0,,,0
760500_49688265,760500,ARG-CPV R32,68',68.0,Cape Verde,0,,1,3,Foul by Kevin Pina (Cabo Verde). || Lionel Messi (Argentina) wins a free kick in the attacking half. || Kevin Pina (Cabo Verde) is shown the yellow card for a bad foul.,0,,,0
760500_49688326,760500,ARG-CPV R32,71',71.0,Cape Verde,0,Deroy Duarte,0,2,Foul by Deroy Duarte (Cabo Verde). || Lionel Messi (Argentina) wins a free kick in the attacking half.,0,,,0
760500_49688345,760500,ARG-CPV R32,77',77.0,Argentina,1,Alexis Mac Allister,0,5,Jamiro Monteiro (Cabo Verde) wins a free kick in the attacking half. || Foul by Alexis Mac Allister (Argentina). || Attempt missed. Kevin Pina (Cabo Verde) right footed shot from outside the box misses to the left from a direct free kic,0,,,0
760500_49688350,760500,ARG-CPV R32,78',78.0,Cape Verde,0,Dailon Livramento,0,7,Jamiro Monteiro (Cabo Verde) wins a free kick in the attacking half. || Foul by Alexis Mac Allister (Argentina). || Attempt missed. Kevin Pina (Cabo Verde) right footed shot from outside the box misses to the left from a direct free kic,0,,,0
760500_49688366,760500,ARG-CPV R32,79',79.0,Cape Verde,0,Kevin Pina,0,5,Attempt missed. Kevin Pina (Cabo Verde) right footed shot from outside the box misses to the left from a direct free kic || Foul by Dailon Livramento (Cabo Verde). || Cristian Romero (Argentina) wins a free kick in the defensive half.,0,,,0
760500_49688594,760500,ARG-CPV R32,90'+4',90.04,Cape Verde,0,Jamiro Monteiro,0,8,Foul by Jamiro Monteiro (Cabo Verde). || Lionel Messi (Argentina) wins a free kick in the attacking half. || Vozinha (Cabo Verde) wins a free kick in the defensive half.,1,bbc,"[bbc] There is not much between that and Australia’s win probability of 30.4%, which is close to the 31.0%",1
760500_49688599,760500,ARG-CPV R32,90'+5',90.05,Argentina,1,Julián Alvarez,0,8,Foul by Jamiro Monteiro (Cabo Verde). || Lionel Messi (Argentina) wins a free kick in the attacking half. || Vozinha (Cabo Verde) wins a free kick in the defensive half.,1,bbc,"[bbc] There is not much between that and Australia’s win probability of 30.4%, which is close to the 31.0%",1
760500_49688604,760500,ARG-CPV R32,90'+6',90.06,Argentina,1,Nico González,0,8,Foul by Jamiro Monteiro (Cabo Verde). || Lionel Messi (Argentina) wins a free kick in the attacking half. || Vozinha (Cabo Verde) wins a free kick in the defensive half.,1,bbc,"[bbc] There is not much between that and Australia’s win probability of 30.4%, which is close to the 31.0%",1
