narration_id,source_type,source,country_family,event_id,match,date,seq,minute_raw,minute_num,text,flag_foul,flag_card,flag_goal,flag_var,flag_penalty,flag_sub,flag_severity
opta_760433_60,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,60,64',64.0,"Substitution, Algeria. Houssem Aouar replaces Hicham Boudaoui.",0,0,0,0,0,1,0
opta_760433_61,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,61,64',64.0,"Substitution, Algeria. Mohammed Amoura replaces Amine Gouiri.",0,0,0,0,0,1,0
opta_760433_62,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,62,64',64.0,"Substitution, Algeria. Riyad Mahrez replaces Anis Hadj Moussa.",0,0,0,0,0,1,0
opta_760433_63,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,63,64',64.0,Cristian Romero (Argentina) wins a free kick in the attacking half.,1,0,0,0,0,0,0
opta_760433_64,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,64,64',64.0,Foul by Mohammed Amoura (Algeria).,1,0,0,0,0,0,0
opta_760433_65,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,65,66',66.0,Attempt saved. Lionel Messi (Argentina) left footed shot from outside the box is saved in the top centre of the goal by Luca Zidane (Algeria). Assisted by Alexis Mac Allister.,0,0,1,0,0,0,0
opta_760433_66,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,66,66',66.0,"Corner, Argentina. Conceded by Luca Zidane.",0,0,0,0,0,0,0
opta_760433_67,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,67,69',69.0,"Attempt missed. Houssem Aouar (Algeria) right footed shot from outside the box is close, but misses to the left. Assisted by Mohammed Amoura.",0,0,0,0,0,0,0
opta_760433_68,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,68,69',69.0,Delay in match for a drinks break.,0,0,0,0,0,0,0
opta_760433_69,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,69,71',71.0,Delay over. They are ready to continue.,0,0,0,0,0,0,0
opta_760433_70,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,70,75',75.0,Foul by Farès Chaïbi (Algeria).,1,0,0,0,0,0,0
opta_760433_71,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,71,75',75.0,Rodrigo De Paul (Argentina) wins a free kick in the defensive half.,1,0,0,0,0,0,0
opta_760433_72,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,72,76',76.0,"Goal! Argentina 3, Algeria 0. Lionel Messi (Argentina) left footed shot from the centre of the box to the bottom left corner. Assisted by Nico González.",0,0,1,0,0,0,0
opta_760433_73,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,73,78',78.0,Delay in match because of an injury Ibrahim Maza (Algeria).,0,0,0,0,0,0,0
opta_760433_74,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,74,79',79.0,Delay over. They are ready to continue.,0,0,0,0,0,0,0
opta_760433_75,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,75,80',80.0,"Substitution, Argentina. Nico Paz replaces Lionel Messi.",0,0,0,0,0,1,0
opta_760433_76,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,76,80',80.0,"Substitution, Argentina. Nicolás Otamendi replaces Cristian Romero.",0,0,0,0,0,1,0
